"Color (R, G, B)",Count
"(np.int64(59), np.int64(42), np.int64(41))",398
"(np.int64(137), np.int64(136), np.int64(151))",303
"(np.int64(224), np.int64(227), np.int64(219))",228
"(np.int64(78), np.int64(79), np.int64(79))",190
"(np.int64(133), np.int64(126), np.int64(113))",96
"(np.int64(194), np.int64(167), np.int64(144))",92
"(np.int64(85), np.int64(109), np.int64(135))",79
"(np.int64(221), np.int64(173), np.int64(142))",79
"(np.int64(31), np.int64(34), np.int64(36))",56
"(np.int64(175), np.int64(116), np.int64(80))",55
